table_name,variable_name,enumeration_code,enumeration_display,enumeration_title,enumeration_meaning,enumeration_system,enumeration_group
File,data_type,edam:data_1707,"An image (for viewing or printing) of a phylogenetic tree including (typically) a plot of rooted or unrooted phylogenies, cladograms, circular trees or phenograms and associated information.",Phylogenetic tree image,edam:data_1707,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1708,"Image of RNA secondary structure, knots, pseudoknots etc.",RNA secondary structure image,edam:data_1708,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1709,Image of protein secondary structure.,Protein secondary structure image,edam:data_1709,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1710,Image of one or more molecular tertiary (3D) structures.,Structure image,edam:data_1710,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1711,Image of two or more aligned molecular sequences possibly annotated with alignment features.,Sequence alignment image,edam:data_1711,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1712,An image of the structure of a small chemical compound.,Chemical structure image,edam:data_1712,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1713,"A fate map is a plan of early stage of an embryo such as a blastula, showing areas that are significance to development.",Fate map,edam:data_1713,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1714,An image of spots from a microarray experiment.,Microarray spots image,edam:data_1714,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1731,The definition of a concept from an ontology.,Ontology concept definition,edam:data_1731,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1742,A residue identifier (a string) from a PDB file.,PDB residue number,edam:data_1742,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1743,Cartesian coordinate of an atom (in a molecular structure).,Atomic coordinate,edam:data_1743,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
